scenario, 'hostSSH',hostVIP, hostcVIP, 
S3sli8noGuaranteesV240,92.80768024208085,83.36036092480443,9.527944160770357,
S3sli8noGuaranteesV240,100.0,38.943691409141785,0.0,
S6sli2noGuaranteesV240,100.0,57.86860992472948,56.36360480497421,
S6sli2noGuaranteesV240,100.0,57.86860992472948,56.36360480497421,
S6sli2noGuaranteesV240,100.0,57.86860992472948,56.36360480497421,
S3sli8noGuaranteesV25,100,97.66716476702304,55.15954160690825,
S3sli8noGuaranteesV210,100.0,96.01884790380237,0.0,
S3sli8noGuaranteesV220,100.0,97.0311774505349,0.0,
S1NoDisNew,100.0,0.0,0.0,
S3sli8noGuaranteesV230,100.0,95.70905244182188,0.0,
S3sli8noGuaranteesV240,100.0,38.943691409141785,0.0,
S3sli8noGuaranteesV280,100.0,0.0,0.0,
S3sli8noGuaranteesV2100,100.0,0.0,0.0,
S4sli2noGuaranteesV25,100.0,0.0,0.0,
S4sli2noGuaranteesV210,100.0,0.0,0.0,
S4sli2noGuaranteesV220,100.0,99.98319770408744,99.06973380782905,
S4sli2noGuaranteesV230,100.0,99.95835717679994,99.04277551142171,
S4sli2noGuaranteesV240,100.0,99.94457617908921,98.92931933567594,
S5sli4noGuaranteesNew5,100,98.53846206713379,62.00925673252979,
S5sli4noGuaranteesNew10,100.0,99.67810751438667,0.0,
S4sli2noGuaranteesV280,100.0,99.6590722703344,98.8977036507596,
S4sli2noGuaranteesV2100,100.0,0.0,0.0,
S5sli4noGuarantees20,100.0,99.98310056373116,0.0,
S5sli4noGuarantees30,100.0,99.9635623861757,0.0,
S5sli4noGuarantees40,100.0,99.94587134166608,0.0,
S6sli2noGuaranteesV25,100.0,99.17824256484204,98.84561423752422,
S6sli2noGuaranteesV210,100.0,98.59960910051097,98.05780489280083,
S5sli4noGuarantees80,100.0,99.60218402484584,0.0,
S5sli4noGuaranteesNew100,100.0,99.44199919829086,0.0,
S6sli2noGuaranteesV220,100.0,97.5083032481031,97.05169994107666,
S6sli2noGuaranteesV230,100.0,95.83725748268803,95.92990360373167,
S6sli2noGuaranteesV240,100.0,57.86860992472948,56.36360480497421,
S7sli4noGuaranteesNew5,100,97.56439160783599,95.01310043349262,
S6sli2noGuaranteesV280,100.0,0.0,0.0,
S7sli4noGuarantees10,100.0,95.4600931133368,0.0,
S6sli2noGuaranteesV2100,100.0,0.0,0.0,
S7sli4noGuarantees20,100.0,97.5857194468747,0.0,
S7sli4noGuarantees30,100.0,95.92864532733313,0.0,
S7sli4noGuarantees40,100.0,64.90006036382269,0.0,
S8sli8_4prio5,100,97.56006730110619,45.8476201680267,
S8sli8_4prio10,100.0,95.15738223498575,0.0,
S7sli4noGuarantees80,100.0,0.0,0.0,
S7sli4noGuarantees100,100.0,0.0,0.0,
S8sli8_4prio20,100.0,97.33904291257915,0.0,
S8sli8_4prio30,100.0,95.07761316350692,0.0,
S8sli8_4prio40,100.0,43.213975221864146,0.0,
S9sli4_3prio5,100,98.53846206713379,60.22709015682379,
S9sli4_3prio10,100.0,99.67810751438667,0.0,
S8sli8_4prio80,100.0,0.0,0.0,
S8sli8_4prio100,100.0,0.0,0.0,
S9sli4_3prio30,100.0,99.96334381342494,0.0,
S9sli4_3prio20,100.0,99.98325111675648,0.0,
S9sli4_3prio40,100.0,99.94591152815215,0.0,
S10sli4_2prio5,100,97.59160347327705,94.99747771498961,
S10sli4_2prio10,100.0,95.8045351545584,0.0,
S9sli4_3prio80,100.0,99.63370674217319,0.0,
S9sli4_3prio100,100.0,99.43275897442415,0.0,
S10sli4_2prio20,100.0,97.34811674402543,0.0,
S10sli4_2prio30,100.0,96.59132019804298,0.0,
S10sli4_2prio40,100.0,65.14669011198362,0.0,
S10sli4_2prio80,100.0,0.0,0.0,
S11sli8_3prio5,100,97.66716476702304,37.162006489294534,
S11sli8_3prio10,100.0,96.01129048237812,0.0,
S11sli8_3prio20,100.0,97.20162893293784,0.0,
S10sli4_2prio100,100.0,0.0,0.0,
S11sli8_3prio30,100.0,95.40823834275442,0.0,
S11sli8_3prio80,100.0,0.0,0.0,
S11sli8_3prio40,100.0,30.247530553221605,0.0,
S12sli4_3prio5,100,97.59160347327705,95.09305467083897,
S12sli4_3prio10,100.0,95.69190898782684,0.0,
S11sli8_3prio100,100.0,0.0,0.0,
S12sli4_3prio20,100.0,97.39130554114541,0.0,
S12sli4_3prio30,100.0,95.90338885284076,0.0,
S12sli4_3prio40,100.0,73.07231746795385,0.0,
S12sli4_3prio80,100.0,0.0,0.0,
S12sli4_3prio100,100.0,0.0,0.0,
S4sli2noGuaranteesV25,100.0,0.0,0.0,
S4sli2noGuaranteesV25,100.0,0.0,0.0,
S4sli2noGuaranteesV2Fix5,100,98.53846206713379,99.99408587864502,
S4sli2noGuaranteesV2Fix10,100.0,99.6629336066915,99.74522704614108,
S4sli2noGuaranteesV2Fix20,100.0,99.98431282384726,99.09177741177699,
S4sli2noGuaranteesV2Fix30,100.0,99.96834570153419,99.12323391654832,
S4sli2noGuaranteesV2Fix40,100.0,99.95151391560725,98.97664548062369,
