scenario, hostVID, hostLVD, hostFDO, hostSSH, hostVIP, hostcVP, hostcF, hostcLV 
S3sli8noGuaranteesV25,100.0,100.0,100.0,100.0,100.0,43.0,100.0,22.22222222222222,
S3sli8noGuaranteesV210,100.0,100.0,100.0,100.0,100.0,35.0,50.0,0.0,
S1NoDisNew,0.0,0.0,0.0,100.0,36.285714285714285,37.0,0.0,0.0,
S3sli8noGuaranteesV220,100.0,100.0,100.0,100.0,100.0,47.0,0.0,0.0,
S3sli8noGuaranteesV230,97.03703703703704,43.24324324324324,100.0,100.0,99.42857142857143,41.0,0.0,0.0,
S3sli8noGuaranteesV240,1.4814814814814816,24.324324324324326,100.0,100.0,44.0,37.0,0.0,0.0,
S3sli8noGuaranteesV2100,0.0,0.0,0.0,100.0,40.57142857142857,41.0,0.0,0.0,
S3sli8noGuaranteesV280,0.0,0.0,80.0,100.0,39.714285714285715,28.000000000000004,0.0,0.0,
S4sli2noGuaranteesV25,100.0,100.0,100.0,100.0,38.857142857142854,41.0,100.0,100.0,
S4sli2noGuaranteesV210,100.0,100.0,100.0,100.0,41.14285714285714,42.0,100.0,100.0,
S4sli2noGuaranteesV230,83.7037037037037,100.0,100.0,100.0,38.0,35.0,0.0,0.0,
S4sli2noGuaranteesV220,100.0,100.0,100.0,100.0,50.0,38.0,0.0,0.0,
S5sli4noGuaranteesNew5,100.0,100.0,100.0,100.0,100.0,36.0,100.0,27.77777777777778,
S4sli2noGuaranteesV240,5.9259259259259265,100.0,100.0,100.0,42.857142857142854,45.0,0.0,0.0,
S4sli2noGuaranteesV280,0.0,24.324324324324326,0.0,100.0,40.0,41.0,0.0,0.0,
S5sli4noGuaranteesNew10,100.0,100.0,100.0,100.0,100.0,42.0,45.0,0.0,
S5sli4noGuarantees20,100.0,100.0,100.0,100.0,49.142857142857146,43.0,0.0,0.0,
S5sli4noGuarantees30,71.11111111111111,100.0,100.0,100.0,42.857142857142854,43.0,0.0,0.0,
S5sli4noGuarantees40,5.185185185185185,100.0,98.33333333333333,100.0,42.0,37.0,0.0,0.0,
S5sli4noGuarantees80,0.0,27.027027027027028,0.0,100.0,37.42857142857143,46.0,0.0,0.0,
S5sli4noGuaranteesNew100,0.0,0.0,0.0,100.0,42.285714285714285,41.0,0.0,0.0,
S6sli2noGuaranteesV25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
S6sli2noGuaranteesV210,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
S6sli2noGuaranteesV220,84.44444444444444,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
S6sli2noGuaranteesV230,0.0,100.0,100.0,100.0,98.28571428571429,95.0,100.0,100.0,
S6sli2noGuaranteesV240,0.0,100.0,98.33333333333333,100.0,40.0,47.0,90.0,100.0,
